index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.155,656,0.2807,349639
2,0.660,-615,-0.2634,348368
3,1.159,-691,-0.2959,348292
4,1.660,-1954,-0.8366,347029
5,2.159,-825,-0.3533,348158
6,2.665,-626,-0.2681,348357
7,3.165,620,0.2653,349603
8,3.665,646,0.2764,349629
9,4.165,691,0.2957,349674
10,4.670,545,0.2332,349528
11,5.169,931,0.3984,349914
12,5.670,837,0.3582,349820
13,6.169,154,0.0658,349137
